Name,ARWU Rank
Princeton University,6
Harvard University,1
Columbia University,8
Massachusetts Institute of Technology,4
University of Chicago,10
Yale University,12
Stanford University,2
Duke University,26
University of Pennsylvania,16
Johns Hopkins University,18
Northwestern University,25
California Institute of Technology,9
Dartmouth College,201-300
Brown University,101-150
Vanderbilt University,50
Cornell University,12
Rice University,70
University of Notre Dame,201-300
University of California--Los Angeles,11
Washington University in St. Louis,20
Emory University,101-150
Georgetown University,201-300
University of California--Berkeley,5
University of Southern California,60
Carnegie Mellon University,91
University of Virginia,151-200
Tufts University,151-200
University of Michigan--Ann Arbor,DNE
Wake Forest University,501-600
New York University,32
University of California--Santa Barbara,46
University of North Carolina--Chapel Hill,30
University of California--Irvine,83
University of Rochester,151-200
Brandeis University,201-300
Georgia Institute of Technology,79
University of Florida,86
Boston College,301-400
College of William and Mary,DNE
University of California--Davis,96
University of California--San Diego,15
Boston University,70
Case Western Reserve University,101-150
Northeastern University,201-300
Tulane University,601-700
Pepperdine University,DNE
University of Georgia,DNE
University of Illinois--Urbana-Champaign,41
Rensselaer Polytechnic Institute,501-600
University of Texas--Austin,DNE
University of Wisconsin--Madison,28
Villanova University,DNE
Lehigh University,701-800
Syracuse University,601-700
University of Miami,201-300
Ohio State University--Columbus,DNE
Purdue University--West Lafayette,70
Rutgers University--New Brunswick,DNE
Pennsylvania State University--University Park,74
Southern Methodist University,701-800
University of Washington,14
Worcester Polytechnic Institute,801-900
George Washington University,DNE
University of Connecticut,301-400
University of Maryland--College Park,51
Brigham Young University--Provo,401-500
Clark University,DNE
Clemson University,601-700
Texas A&M University--College Station,DNE
Florida State University,201-300
Fordham University,DNE
Stevens Institute of Technology,601-700
University of California--Santa Cruz,101-150
University of Massachusetts--Amherst,DNE
University of Pittsburgh,DNE
University of Minnesota--Twin Cities,37
Virginia Tech,DNE
American University,DNE
Baylor University,501-600
Binghamton University--SUNY,901-1000
Colorado School of Mines,501-600
North Carolina State University--Raleigh,151-200
Stony Brook University--SUNY,301-400
Texas Christian University,DNE
Yeshiva University,301-400
Michigan State University,101-150
University of California--Riverside,151-200
University of San Diego,801-900
Howard University,DNE
Indiana University--Bloomington,DNE
Loyola University Chicago,601-700
Marquette University,DNE
University at Buffalo--SUNY,DNE
University of Delaware,201-300
University of Iowa,151-200
Illinois Institute of Technology,901-1000
Miami University--Oxford,DNE
University of Colorado--Boulder,38
University of Denver,801-900
University of San Francisco,701-800
University of Vermont,301-400
Clarkson University,DNE
Drexel University,301-400
Rochester Institute of Technology,DNE
University of Oregon,301-400
New Jersey Institute of Technology,601-700
Saint Louis University,401-500
SUNY College of Environmental Science and Forestry,DNE
Temple University,301-400
University of Arizona,101-150
University of New Hampshire,401-500
University of South Carolina,301-400
University of the Pacific,DNE
University of Tulsa,DNE
Arizona State University--Tempe,101-150
Auburn University,501-600
Rutgers University--Newark,DNE
University of Tennessee,201-300
DePaul University,DNE
Duquesne University,DNE
Iowa State University,201-300
Seton Hall University,DNE
University of Utah,101-150
University of Oklahoma,401-500
University of South Florida,201-300
University of St. Thomas,901-1000
San Diego State University,601-700
University of Dayton,DNE
The Catholic University of America,DNE
University of Alabama,DNE
University of Illinois--Chicago,201-300
University of Kansas,201-300
University of Missouri,201-300
University of Nebraska--Lincoln,201-300
University of Texas--Dallas,DNE
George Mason University,201-300
Michigan Technological University,601-700
University of California--Merced,DNE
University of La Verne,DNE
Colorado State University,201-300
Hofstra University,DNE
Louisiana State University--Baton Rouge,301-400
Mercer University,DNE
Oregon State University,151-200
University at Albany--SUNY,DNE
Washington State University,301-400
Adelphi University,DNE
Kansas State University,401-500
The New School,DNE
University of Cincinnati,301-400
University of Kentucky,301-400
St. John Fisher College,DNE
St. John's University,DNE
Union University,DNE
University of Arkansas,DNE
University of Mississippi,801-900
Biola University,DNE
Missouri University of Science & Technology,DNE
Oklahoma State University,401-500
University of Alabama--Birmingham,201-300
University of Hawaii--Manoa,201-300
University of Massachusetts--Lowell,DNE
University of Rhode Island,501-600
Virginia Commonwealth University,201-300
Edgewood College,DNE
University of Central Florida,301-400
University of Idaho,501-600
University of Maryland--Baltimore County,501-600
Montclair State University,DNE
Seattle Pacific University,DNE
Ball State University,DNE
Illinois State University,DNE
Ohio University,601-700
Rowan University,DNE
University of Houston,201-300
University of Louisville,601-700
Florida Institute of Technology,DNE
Maryville University of St. Louis,DNE
Mississippi State University,401-500
Pace University,DNE
Suffolk University,DNE
University of Maine,401-500
Immaculata University,DNE
Lesley University,DNE
Robert Morris University,DNE
University of Wyoming,401-500
Florida International University,401-500
Georgia State University,501-600
Texas Tech University,401-500
University of New Mexico,DNE
Kent State University,401-500
Nova Southeastern University,DNE
University of Massachusetts--Boston,DNE
Andrews University,DNE
East Carolina University,DNE
Indiana University-Purdue University--Indianapolis,301-400
Lipscomb University,DNE
University of Hartford,DNE
University of North Carolina--Charlotte,901-1000
Widener University,DNE
Regent University,DNE
University of Montana,401-500
University of Nevada--Reno,701-800
University of North Carolina--Greensboro,DNE
Azusa Pacific University,DNE
California State University--Fresno,DNE
Central Michigan University,DNE
Montana State University,601-700
University of Colorado--Denver,201-300
University of North Dakota,DNE
Utah State University,401-500
Wayne State University,401-500
Western Michigan University,DNE
West Virginia University,401-500
Bowling Green State University,DNE
North Dakota State University,DNE
Old Dominion University,601-700
Shenandoah University,DNE
University of Alaska--Fairbanks,501-600
University of Massachusetts--Dartmouth,DNE
Benedictine University,DNE
California State University--Fullerton,DNE
Dallas Baptist University,DNE
New Mexico State University,801-900
University of Texas--Arlington,DNE
South Dakota State University,901-1000
Southern Illinois University--Carbondale,DNE
University of Missouri--St. Louis,DNE
University of South Dakota,DNE
American International College,DNE
Ashland University,DNE
Augusta University,DNE
Barry University,DNE
Boise State University,DNE
Cardinal Stritch University,DNE
Clark Atlanta University,DNE
Cleveland State University,DNE
Eastern Michigan University,DNE
East Tennessee State University,DNE
Florida A&M University,DNE
Florida Atlantic University,901-1000
Gardner-Webb University,DNE
Georgia Southern University,DNE
Grand Canyon University,DNE
Indiana State University,DNE
Indiana University of Pennsylvania,DNE
Jackson State University,DNE
Kennesaw State University,DNE
Lamar University,DNE
Liberty University,DNE
Lindenwood University,DNE
Louisiana Tech University,DNE
Middle Tennessee State University,DNE
Morgan State University,DNE
National Louis University,DNE
North Carolina A&T State University,DNE
Northern Arizona University,501-600
Northern Illinois University,DNE
Oakland University,DNE
Portland State University,801-900
Prairie View A&M University,DNE
Sam Houston State University,DNE
San Francisco State University,DNE
Spalding University,DNE
Tennessee State University,DNE
Tennessee Technological University,DNE
Texas A&M University--Commerce,DNE
Texas A&M University--Corpus Christi,DNE
Texas A&M University--Kingsville,DNE
Texas Southern University,DNE
Texas State University,DNE
Texas Woman's University,DNE
Trevecca Nazarene University,DNE
Trinity International University,DNE
University of Akron,DNE
University of Alabama--Huntsville,DNE
University of Arkansas--Little Rock,701-800
University of Louisiana--Lafayette,701-800
University of Louisiana--Monroe,DNE
University of Maryland--Eastern Shore,DNE
University of Memphis,DNE
University of Missouri--Kansas City,DNE
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,DNE
University of New Orleans,601-700
University of Northern Colorado,DNE
University of North Texas,301-400
University of South Alabama,DNE
University of Southern Mississippi,DNE
University of Texas--El Paso,DNE
University of Texas--Rio Grande Valley,DNE
University of Texas--San Antonio,DNE
University of the Cumberlands,DNE
University of Toledo,701-800
University of West Florida,DNE
University of West Georgia,DNE
University of Wisconsin--Milwaukee,DNE
Valdosta State University,DNE
Wichita State University,DNE
Wilmington University,DNE
