Name,Collegevine Link
Princeton University,https://blog.collegevine.com/category/essay-breakdowns/princeton-university/
Harvard University,https://blog.collegevine.com/category/essay-breakdowns/harvard-university/
Columbia University,https://blog.collegevine.com/category/essay-breakdowns/columbia-university/
Massachusetts Institute of Technology,https://blog.collegevine.com/category/essay-breakdowns/mit/
University of Chicago,https://blog.collegevine.com/category/essay-breakdowns/university-of-chicago/
Yale University,https://blog.collegevine.com/category/essay-breakdowns/yale-university/
Stanford University,https://blog.collegevine.com/category/essay-breakdowns/stanford-university/
Duke University,https://blog.collegevine.com/category/essay-breakdowns/duke-university/
University of Pennsylvania,https://blog.collegevine.com/category/essay-breakdowns/university-of-pennsylvania/
Johns Hopkins University,https://blog.collegevine.com/category/essay-breakdowns/johns-hopkins-university/
Northwestern University,https://blog.collegevine.com/category/essay-breakdowns/northwestern-university/
California Institute of Technology,https://blog.collegevine.com/category/essay-breakdowns/caltech/
Dartmouth College,https://blog.collegevine.com/category/essay-breakdowns/dartmouth-college/
Brown University,https://blog.collegevine.com/category/essay-breakdowns/brown-university/
Vanderbilt University,https://blog.collegevine.com/category/essay-breakdowns/vanderbilt-university/
Cornell University,https://blog.collegevine.com/category/essay-breakdowns/cornell-university/
Rice University,DNE
University of Notre Dame,https://blog.collegevine.com/category/essay-breakdowns/notre-dame-university/
University of California--Los Angeles,DNE
Washington University in St. Louis,DNE
Emory University,https://blog.collegevine.com/category/essay-breakdowns/emory-university/
Georgetown University,https://blog.collegevine.com/category/essay-breakdowns/georgetown-university/
University of California--Berkeley,https://blog.collegevine.com/category/essay-breakdowns/university-of-california-schools/
University of Southern California,https://blog.collegevine.com/category/essay-breakdowns/university-of-southern-california/
Carnegie Mellon University,https://blog.collegevine.com/category/essay-breakdowns/carnegie-mellon-university/
University of Virginia,DNE
Tufts University,DNE
University of Michigan--Ann Arbor,https://blog.collegevine.com/category/essay-breakdowns/university-of-michigan/
Wake Forest University,DNE
New York University,https://blog.collegevine.com/category/essay-breakdowns/new-york-university/
University of California--Santa Barbara,DNE
University of North Carolina--Chapel Hill,DNE
University of California--Irvine,https://blog.collegevine.com/category/essay-breakdowns/university-of-california-schools/
University of Rochester,DNE
Brandeis University,DNE
Georgia Institute of Technology,https://blog.collegevine.com/category/essay-breakdowns/georgia-tech/
University of Florida,DNE
Boston College,https://blog.collegevine.com/category/essay-breakdowns/boston-college/
College of William and Mary,DNE
University of California--Davis,DNE
University of California--San Diego,https://blog.collegevine.com/category/essay-breakdowns/university-of-california-schools/
Boston University,DNE
Case Western Reserve University,DNE
Northeastern University,DNE
Tulane University,DNE
Pepperdine University,DNE
University of Georgia,DNE
University of Illinois--Urbana-Champaign,DNE
Rensselaer Polytechnic Institute,DNE
University of Texas--Austin,DNE
University of Wisconsin--Madison,DNE
Villanova University,DNE
Lehigh University,DNE
Syracuse University,DNE
University of Miami,DNE
Ohio State University--Columbus,DNE
Purdue University--West Lafayette,DNE
Rutgers University--New Brunswick,DNE
Pennsylvania State University--University Park,DNE
Southern Methodist University,DNE
University of Washington,DNE
Worcester Polytechnic Institute,DNE
George Washington University,DNE
University of Connecticut,DNE
University of Maryland--College Park,DNE
Brigham Young University--Provo,DNE
Clark University,DNE
Clemson University,DNE
Texas A&M University--College Station,DNE
Florida State University,DNE
Fordham University,DNE
Stevens Institute of Technology,DNE
University of California--Santa Cruz,DNE
University of Massachusetts--Amherst,DNE
University of Pittsburgh,DNE
University of Minnesota--Twin Cities,DNE
Virginia Tech,DNE
American University,DNE
Baylor University,https://blog.collegevine.com/category/essay-breakdowns/
Binghamton University--SUNY,DNE
Colorado School of Mines,DNE
North Carolina State University--Raleigh,DNE
Stony Brook University--SUNY,DNE
Texas Christian University,DNE
Yeshiva University,DNE
Michigan State University,DNE
University of California--Riverside,DNE
University of San Diego,https://blog.collegevine.com/category/essay-breakdowns/university-of-california-schools/
Howard University,DNE
Indiana University--Bloomington,DNE
Loyola University Chicago,DNE
Marquette University,DNE
University at Buffalo--SUNY,DNE
University of Delaware,DNE
University of Iowa,DNE
Illinois Institute of Technology,DNE
Miami University--Oxford,DNE
University of Colorado--Boulder,DNE
University of Denver,DNE
University of San Francisco,DNE
University of Vermont,DNE
Clarkson University,DNE
Drexel University,DNE
Rochester Institute of Technology,DNE
University of Oregon,DNE
New Jersey Institute of Technology,DNE
Saint Louis University,DNE
SUNY College of Environmental Science and Forestry,DNE
Temple University,DNE
University of Arizona,DNE
University of New Hampshire,DNE
University of South Carolina,DNE
University of the Pacific,https://blog.collegevine.com/category/essay-breakdowns/university-of-california-schools/
University of Tulsa,DNE
Arizona State University--Tempe,DNE
Auburn University,DNE
Rutgers University--Newark,DNE
University of Tennessee,DNE
DePaul University,DNE
Duquesne University,DNE
Iowa State University,DNE
Seton Hall University,DNE
University of Utah,DNE
University of Oklahoma,DNE
University of South Florida,DNE
University of St. Thomas,DNE
San Diego State University,DNE
University of Dayton,DNE
The Catholic University of America,DNE
University of Alabama,DNE
University of Illinois--Chicago,DNE
University of Kansas,DNE
University of Missouri,DNE
University of Nebraska--Lincoln,DNE
University of Texas--Dallas,DNE
George Mason University,DNE
Michigan Technological University,DNE
University of California--Merced,DNE
University of La Verne,DNE
Colorado State University,DNE
Hofstra University,DNE
Louisiana State University--Baton Rouge,DNE
Mercer University,DNE
Oregon State University,DNE
University at Albany--SUNY,DNE
Washington State University,DNE
Adelphi University,DNE
Kansas State University,DNE
The New School,DNE
University of Cincinnati,DNE
University of Kentucky,DNE
St. John Fisher College,DNE
St. John's University,DNE
Union University,DNE
University of Arkansas,DNE
University of Mississippi,DNE
Biola University,DNE
Missouri University of Science & Technology,DNE
Oklahoma State University,DNE
University of Alabama--Birmingham,DNE
University of Hawaii--Manoa,DNE
University of Massachusetts--Lowell,DNE
University of Rhode Island,DNE
Virginia Commonwealth University,DNE
Edgewood College,DNE
University of Central Florida,DNE
University of Idaho,DNE
University of Maryland--Baltimore County,DNE
Montclair State University,DNE
Seattle Pacific University,DNE
Ball State University,DNE
Illinois State University,DNE
Ohio University,DNE
Rowan University,DNE
University of Houston,DNE
University of Louisville,DNE
Florida Institute of Technology,DNE
Maryville University of St. Louis,DNE
Mississippi State University,DNE
Pace University,DNE
Suffolk University,DNE
University of Maine,DNE
Immaculata University,DNE
Lesley University,DNE
Robert Morris University,DNE
University of Wyoming,DNE
Florida International University,DNE
Georgia State University,DNE
Texas Tech University,DNE
University of New Mexico,DNE
Kent State University,DNE
Nova Southeastern University,DNE
University of Massachusetts--Boston,DNE
Andrews University,DNE
East Carolina University,DNE
Indiana University-Purdue University--Indianapolis,DNE
Lipscomb University,DNE
University of Hartford,DNE
University of North Carolina--Charlotte,DNE
Widener University,DNE
Regent University,DNE
University of Montana,DNE
University of Nevada--Reno,DNE
University of North Carolina--Greensboro,DNE
Azusa Pacific University,DNE
California State University--Fresno,DNE
Central Michigan University,DNE
Montana State University,DNE
University of Colorado--Denver,DNE
University of North Dakota,DNE
Utah State University,DNE
Wayne State University,DNE
Western Michigan University,DNE
West Virginia University,DNE
Bowling Green State University,DNE
North Dakota State University,DNE
Old Dominion University,DNE
Shenandoah University,DNE
University of Alaska--Fairbanks,DNE
University of Massachusetts--Dartmouth,DNE
Benedictine University,DNE
California State University--Fullerton,DNE
Dallas Baptist University,DNE
New Mexico State University,DNE
University of Texas--Arlington,DNE
South Dakota State University,DNE
Southern Illinois University--Carbondale,DNE
University of Missouri--St. Louis,DNE
University of South Dakota,DNE
American International College,DNE
Ashland University,DNE
Augusta University,DNE
Barry University,DNE
Boise State University,DNE
Cardinal Stritch University,DNE
Clark Atlanta University,DNE
Cleveland State University,DNE
Eastern Michigan University,DNE
East Tennessee State University,DNE
Florida A&M University,DNE
Florida Atlantic University,DNE
Gardner-Webb University,DNE
Georgia Southern University,DNE
Grand Canyon University,DNE
Indiana State University,DNE
Indiana University of Pennsylvania,DNE
Jackson State University,DNE
Kennesaw State University,DNE
Lamar University,DNE
Liberty University,DNE
Lindenwood University,DNE
Louisiana Tech University,DNE
Middle Tennessee State University,DNE
Morgan State University,DNE
National Louis University,DNE
North Carolina A&T State University,DNE
Northern Arizona University,DNE
Northern Illinois University,DNE
Oakland University,DNE
Portland State University,DNE
Prairie View A&M University,DNE
Sam Houston State University,DNE
San Francisco State University,DNE
Spalding University,DNE
Tennessee State University,DNE
Tennessee Technological University,DNE
Texas A&M University--Commerce,DNE
Texas A&M University--Corpus Christi,DNE
Texas A&M University--Kingsville,DNE
Texas Southern University,DNE
Texas State University,DNE
Texas Woman's University,DNE
Trevecca Nazarene University,DNE
Trinity International University,DNE
University of Akron,DNE
University of Alabama--Huntsville,DNE
University of Arkansas--Little Rock,DNE
University of Louisiana--Lafayette,DNE
University of Louisiana--Monroe,DNE
University of Maryland--Eastern Shore,DNE
University of Memphis,DNE
University of Missouri--Kansas City,DNE
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,DNE
University of New Orleans,DNE
University of Northern Colorado,DNE
University of North Texas,DNE
University of South Alabama,DNE
University of Southern Mississippi,DNE
University of Texas--El Paso,DNE
University of Texas--Rio Grande Valley,DNE
University of Texas--San Antonio,DNE
University of the Cumberlands,DNE
University of Toledo,DNE
University of West Florida,DNE
University of West Georgia,DNE
University of Wisconsin--Milwaukee,DNE
Valdosta State University,DNE
Wichita State University,DNE
Wilmington University,DNE
