Names,Niche Link,Atheletic Division,Acceptance Rate,Undergrad #,Graduation Rate,School Website
Princeton University,https://www.niche.com/colleges/princeton-university/,NCAA Division I-FCS,7%,"5,251",97%,http://www.princeton.edu
Harvard University,https://www.niche.com/colleges/harvard-university/,NCAA Division I-FCS,5%,"7,151",97%,http://www.harvard.edu
Columbia University,https://www.niche.com/colleges/columbia-university/,NCAA Division I-FCS,7%,"7,552",94%,http://www.columbia.edu
Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,NCAA Division III (with football),8%,"4,476",93%,http://web.mit.edu/
University of Chicago,https://www.niche.com/colleges/university-of-chicago/,NCAA Division III (with football),8%,"5,978",94%,http://www.uchicago.edu
Yale University,https://www.niche.com/colleges/yale-university/,NCAA Division I-FCS,6%,"5,469",98%,https://www.yale.edu/
Stanford University,https://www.niche.com/colleges/stanford-university/,NCAA Division I-FBS,5%,"7,034",94%,http://www.stanford.edu/
Duke University,https://www.niche.com/colleges/duke-university/,NCAA Division I-FBS,11%,"6,577",95%,https://duke.edu/
University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,NCAA Division I-FCS,9%,"10,468",95%,http://www.upenn.edu
Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/,Other,13%,"5,621",92%,https://www.jhu.edu/
Northwestern University,https://www.niche.com/colleges/northwestern-university/,NCAA Division I-FBS,11%,"8,298",94%,http://www.northwestern.edu
California Institute of Technology,https://www.niche.com/colleges/california-institute-of-technology/,NCAA Division III (without football),8%,979,94%,http://www.caltech.edu
Dartmouth College,https://www.niche.com/colleges/dartmouth-college/,NCAA Division I-FCS,11%,"4,270",97%,http://www.dartmouth.edu
Brown University,https://www.niche.com/colleges/brown-university/,NCAA Division I-FCS,9%,"6,565",96%,http://www.brown.edu
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,NCAA Division I-FBS,11%,"6,817",92%,http://www.vanderbilt.edu
Cornell University,https://www.niche.com/colleges/cornell-university/,NCAA Division I-FCS,14%,"14,556",94%,http://www.cornell.edu
Rice University,https://www.niche.com/colleges/rice-university/,NCAA Division I-FBS,15%,"3,836",93%,http://www.rice.edu
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,NCAA Division I-FBS,19%,"8,514",95%,http://www.nd.edu
University of California--Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,NCAA Division I-FBS,18%,"30,343",91%,http://www.ucla.edu/
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,NCAA Division III (with football),17%,"6,915",94%,http://www.wustl.edu
Emory University,https://www.niche.com/colleges/emory-university/,NCAA Division III (without football),25%,"6,714",91%,http://www.emory.edu
Georgetown University,https://www.niche.com/colleges/georgetown-university/,NCAA Division I-FCS,17%,"7,056",94%,http://www.georgetown.edu
University of California--Berkeley,https://www.niche.com/colleges/university-of-california---berkeley/,NCAA Division I-FBS,17%,"28,108",92%,http://www.berkeley.edu
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,NCAA Division I-FBS,17%,"18,195",92%,http://www.usc.edu/
Carnegie Mellon University,https://www.niche.com/colleges/carnegie-mellon-university/,NCAA Division III (with football),22%,"6,069",90%,http://www.cmu.edu/
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,NCAA Division I-FBS,30%,"15,476",94%,http://www.virginia.edu
Tufts University,https://www.niche.com/colleges/tufts-university/,NCAA Division III (with football),14%,"5,435",92%,http://www.tufts.edu
University of Michigan--Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,NCAA Division I-FBS,29%,"27,969",91%,http://www.umich.edu
Wake Forest University,https://www.niche.com/colleges/wake-forest-university/,NCAA Division I-FBS,30%,"4,900",88%,http://www.wfu.edu
New York University,https://www.niche.com/colleges/new-york-university/,NCAA Division III (without football),32%,"24,888",85%,http://www.nyu.edu
University of California--Santa Barbara,https://www.niche.com/colleges/university-of-california---santa-barbara/,NCAA Division I (without football),36%,"21,199",82%,http://www.ucsb.edu
University of North Carolina--Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,NCAA Division I-FBS,27%,"17,869",91%,http://www.unc.edu
University of California--Irvine,https://www.niche.com/colleges/university-of-california---irvine/,NCAA Division I (without football),41%,"26,889",87%,http://www.uci.edu/
University of Rochester,https://www.niche.com/colleges/university-of-rochester/,NCAA Division III (with football),36%,"6,170",85%,http://www.rochester.edu/
Brandeis University,https://www.niche.com/colleges/brandeis-university/,NCAA Division III (without football),33%,"3,591",90%,http://www.brandeis.edu/
Georgia Institute of Technology,https://www.niche.com/colleges/georgia-institute-of-technology/,NCAA Division I-FBS,26%,"13,815",86%,http://www.gatech.edu
University of Florida,https://www.niche.com/colleges/university-of-florida/,NCAA Division I-FBS,46%,"31,014",87%,http://www.ufl.edu/
Boston College,https://www.niche.com/colleges/boston-college/,NCAA Division I-FBS,31%,"9,647",93%,http://www.bc.edu
College of William and Mary,https://www.niche.com/colleges/college-of-william--and--mary/,NCAA Division I-FCS,37%,"6,209",91%,http://www.wm.edu
University of California--Davis,https://www.niche.com/colleges/university-of-california---davis/,NCAA Division I-FCS,42%,"28,564",85%,http://www.ucdavis.edu
University of California--San Diego,https://www.niche.com/colleges/university-of-california---san-diego/,NCAA Division II (without football),36%,"27,386",87%,http://www.ucsd.edu
Boston University,https://www.niche.com/colleges/boston-university/,NCAA Division I (without football),29%,"16,628",87%,http://www.bu.edu/
Case Western Reserve University,https://www.niche.com/colleges/case-western-reserve-university/,NCAA Division III (with football),35%,"4,990",82%,http://case.edu
Northeastern University,https://www.niche.com/colleges/northeastern-university/,NCAA Division I (without football),29%,"13,444",86%,http://www.northeastern.edu
Tulane University,https://www.niche.com/colleges/tulane-university/,NCAA Division I-FBS,26%,"6,487",83%,http://tulane.edu
Pepperdine University,https://www.niche.com/colleges/pepperdine-university/,NCAA Division I (without football),37%,"3,222",87%,http://www.pepperdine.edu/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,NCAA Division I-FBS,54%,"26,328",85%,http://www.uga.edu
University of Illinois--Urbana-Champaign,https://www.niche.com/colleges/university-of-illinois-at-urbana-champaign/,NCAA Division I-FBS,60%,"32,540",85%,http://www.illinois.edu/
Rensselaer Polytechnic Institute,https://www.niche.com/colleges/rensselaer-polytechnic-institute/,NCAA Division III (with football),44%,"6,200",80%,http://www.rpi.edu
University of Texas--Austin,https://www.niche.com/colleges/university-of-texas---austin/,NCAA Division I-FBS,40%,"37,234",81%,http://www.utexas.edu
University of Wisconsin--Madison,https://www.niche.com/colleges/university-of-wisconsin/,NCAA Division I-FBS,53%,"28,577",85%,http://www.wisc.edu
Villanova University,https://www.niche.com/colleges/villanova-university/,NCAA Division I-A,44%,"6,469",90%,http://www.villanova.edu
Lehigh University,https://www.niche.com/colleges/lehigh-university/,NCAA Division I-FCS,26%,"5,003",89%,http://www.lehigh.edu
Syracuse University,https://www.niche.com/colleges/syracuse-university/,NCAA Division I-FBS,52%,"14,607",82%,https://www.syracuse.edu/
University of Miami,https://www.niche.com/colleges/university-of-miami/,NCAA Division I-FBS,38%,"10,164",82%,http://www.miami.edu/
Ohio State University--Columbus,https://www.niche.com/colleges/the-ohio-state-university/,NCAA Division I-FBS,54%,"41,862",84%,http://www.osu.edu/
Purdue University--West Lafayette,https://www.niche.com/colleges/purdue-university/,NCAA Division I-FBS,56%,"29,309",76%,http://www.purdue.edu
Rutgers University--New Brunswick,https://www.niche.com/colleges/rutgers-university---new-brunswick/,NCAA Division I-FBS,57%,"34,020",80%,https://newbrunswick.rutgers.edu/
Pennsylvania State University--University Park,https://www.niche.com/colleges/penn-state/,NCAA Division I-FBS,56%,"40,139",86%,http://www.psu.edu/
Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/,NCAA Division I-FBS,49%,"6,296",79%,http://www.smu.edu
University of Washington,https://www.niche.com/colleges/university-of-washington/,NCAA Division I-FBS,45%,"28,380",84%,http://www.washington.edu
Worcester Polytechnic Institute,https://www.niche.com/colleges/worcester-polytechnic-institute/,NCAA Division III (with football),48%,"4,275",86%,http://www.wpi.edu
George Washington University,https://www.niche.com/colleges/george-washington-university/,NCAA Division I (without football),40%,"10,430",84%,http://www.gwu.edu
University of Connecticut,https://www.niche.com/colleges/university-of-connecticut/,NCAA Division I-FBS,49%,"18,655",82%,http://uconn.edu/
University of Maryland--College Park,https://www.niche.com/colleges/university-of-maryland---college-park/,NCAA Division I-FBS,48%,"26,350",86%,http://www.umd.edu
Brigham Young University--Provo,https://www.niche.com/colleges/brigham-young-university/,NCAA Division I-FBS,51%,"28,012",83%,http://www.byu.edu
Clark University,https://www.niche.com/colleges/clark-university/,NCAA Division III (without football),57%,"2,227",83%,https://www.clarku.edu
Clemson University,https://www.niche.com/colleges/clemson-university/,NCAA Division I-FBS,51%,"17,883",81%,http://www.clemson.edu
Texas A&M University--College Station,https://www.niche.com/colleges/texas-a-and-m-university/,NCAA Division I-FBS,67%,"45,091",80%,http://www.tamu.edu
Florida State University,https://www.niche.com/colleges/florida-state-university/,NCAA Division I-FBS,58%,"29,281",80%,http://www.fsu.edu
Fordham University,https://www.niche.com/colleges/fordham-university/,NCAA Division I-FCS,45%,"8,763",80%,http://www.fordham.edu
Stevens Institute of Technology,https://www.niche.com/colleges/stevens-institute-of-technology/,NCAA Division III (without football),39%,"3,108",83%,https://www.stevens.edu/
University of California--Santa Cruz,https://www.niche.com/colleges/university-of-california---santa-cruz/,NCAA Division III (without football),58%,"16,509",77%,http://www.ucsc.edu/
University of Massachusetts--Amherst,https://www.niche.com/colleges/university-of-massachusetts---amherst/,NCAA Division I-FBS,60%,"21,460",76%,http://www.umass.edu
University of Pittsburgh,https://www.niche.com/colleges/university-of-pittsburgh/,NCAA Division I-FBS,55%,"18,163",81%,https://oafa.pitt.edu/
University of Minnesota--Twin Cities,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,NCAA Division I-FBS,44%,"29,566",78%,https://twin-cities.umn.edu/
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,NCAA Division I-FBS,71%,"25,213",84%,http://www.vt.edu
American University,https://www.niche.com/colleges/american-university/,NCAA Division I (without football),26%,"7,544",81%,http://www.american.edu
Baylor University,https://www.niche.com/colleges/baylor-university/,NCAA Division I-FBS,40%,"14,109",74%,http://www.baylor.edu
Binghamton University--SUNY,https://www.niche.com/colleges/binghamton-university-suny/,NCAA Division I (without football),41%,"13,185",83%,http://www.binghamton.edu
Colorado School of Mines,https://www.niche.com/colleges/colorado-school-of-mines/,NCAA Division II (with football),40%,"4,395",77%,http://www.mines.edu
North Carolina State University--Raleigh,https://www.niche.com/colleges/north-carolina-state-university/,NCAA Division I-FBS,48%,"20,951",77%,https://www.ncsu.edu/
Stony Brook University--SUNY,https://www.niche.com/colleges/stony-brook-university-suny/,NCAA Division I-FCS,41%,"15,858",72%,http://www.stonybrook.edu
Texas Christian University,https://www.niche.com/colleges/texas-christian-university/,NCAA Division I-FBS,38%,"8,608",77%,http://www.tcu.edu/
Yeshiva University,https://www.niche.com/colleges/yeshiva-university/,NCAA Division III (without football),51%,"2,628",82%,http://www.yu.edu
Michigan State University,https://www.niche.com/colleges/michigan-state-university/,NCAA Division I-FBS,66%,"35,447",78%,https://msu.edu/
University of California--Riverside,https://www.niche.com/colleges/university-of-california---riverside/,NCAA Division I (without football),66%,"19,544",73%,http://www.ucr.edu
University of San Diego,https://www.niche.com/colleges/university-of-san-diego/,NCAA Division I-FCS,51%,"5,499",78%,http://www.sandiego.edu/
Howard University,https://www.niche.com/colleges/howard-university/,NCAA Division I-FCS,30%,"5,575",61%,https://www.howard.edu
Indiana University--Bloomington,https://www.niche.com/colleges/indiana-university---bloomington/,NCAA Division I-FBS,79%,"32,005",76%,https://www.indiana.edu/
Loyola University Chicago,https://www.niche.com/colleges/loyola-university-chicago/,NCAA Division I (without football),73%,"10,362",75%,http://www.luc.edu
Marquette University,https://www.niche.com/colleges/marquette-university/,NCAA Division I (without football),84%,"7,974",81%,http://www.marquette.edu
University at Buffalo--SUNY,https://www.niche.com/colleges/university-at-buffalo-suny/,NCAA Division I-FBS,59%,"18,824",74%,http://www.buffalo.edu
University of Delaware,https://www.niche.com/colleges/university-of-delaware/,NCAA Division I-FCS,70%,"17,761",81%,http://www.udel.edu/
University of Iowa,https://www.niche.com/colleges/university-of-iowa/,NCAA Division I-FBS,84%,"20,868",72%,http://admissions.uiowa.edu
Illinois Institute of Technology,https://www.niche.com/colleges/illinois-institute-of-technology/,NCAA Division III (without football),57%,"2,712",71%,http://iit.edu
Miami University--Oxford,https://www.niche.com/colleges/miami-university/,NCAA Division I-FBS,65%,"16,434",78%,http://miamioh.edu
University of Colorado--Boulder,https://www.niche.com/colleges/university-of-colorado---boulder/,NCAA Division I-FBS,77%,"25,802",70%,http://www.colorado.edu
University of Denver,https://www.niche.com/colleges/university-of-denver/,NCAA Division I (without football),53%,"5,491",79%,http://www.du.edu
University of San Francisco,https://www.niche.com/colleges/university-of-san-francisco/,NCAA Division I (without football),71%,"6,450",72%,https://www.usfca.edu/
University of Vermont,https://www.niche.com/colleges/university-of-vermont/,NCAA Division I (without football),69%,"10,183",74%,http://www.uvm.edu
Clarkson University,https://www.niche.com/colleges/clarkson-university/,NCAA Division III (without football),68%,"3,203",71%,http://www.clarkson.edu
Drexel University,https://www.niche.com/colleges/drexel-university/,NCAA Division I (without football),75%,"13,303",70%,http://www.drexel.edu
Rochester Institute of Technology,https://www.niche.com/colleges/rochester-institute-of-technology/,Other,55%,"12,253",66%,http://www.rit.edu/
University of Oregon,https://www.niche.com/colleges/university-of-oregon/,NCAA Division I-FBS,78%,"18,330",72%,https://www.uoregon.edu
New Jersey Institute of Technology,https://www.niche.com/colleges/new-jersey-institute-of-technology/,NCAA Division I (without football),59%,"6,180",61%,http://www.njit.edu/
Saint Louis University,https://www.niche.com/colleges/saint-louis-university/,NCAA Division I (without football),65%,"6,747",74%,https://www.slu.edu/
SUNY College of Environmental Science and Forestry,https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/,USCAA,54%,"1,711",75%,http://www.esf.edu
Temple University,https://www.niche.com/colleges/temple-university/,NCAA Division I-FBS,52%,"26,277",71%,http://www.temple.edu
University of Arizona,https://www.niche.com/colleges/university-of-arizona/,NCAA Division I-FBS,79%,"29,149",60%,http://www.arizona.edu
University of New Hampshire,https://www.niche.com/colleges/university-of-new-hampshire/,NCAA Division I-FCS,76%,"12,468",78%,http://www.unh.edu
University of South Carolina,https://www.niche.com/colleges/university-of-south-carolina/,NCAA Division I-FBS,68%,"24,382",73%,http://sc.edu
University of the Pacific,https://www.niche.com/colleges/university-of-the-pacific/,NCAA Division I (without football),66%,"3,383",68%,http://www.pacific.edu
University of Tulsa,https://www.niche.com/colleges/university-of-tulsa/,NCAA Division I-FBS,40%,"3,478",73%,https://utulsa.edu/
Arizona State University--Tempe,https://www.niche.com/colleges/arizona-state-university/,NCAA Division I-FBS,83%,"38,946",67%,https://asu.edu
Auburn University,https://www.niche.com/colleges/auburn-university/,NCAA Division I-FBS,81%,"20,396",75%,http://www.auburn.edu
Rutgers University--Newark,https://www.niche.com/colleges/rutgers-university---newark/,NCAA Division III (without football),65%,"6,680",66%,http://www.newark.rutgers.edu/
University of Tennessee,https://www.niche.com/colleges/university-of-tennessee/,NCAA Division I-FBS,77%,"20,778",69%,http://www.utk.edu
DePaul University,https://www.niche.com/colleges/depaul-university/,NCAA Division I (without football),70%,"13,168",73%,http://www.depaul.edu
Duquesne University,https://www.niche.com/colleges/duquesne-university/,NCAA Division I-FCS,74%,"5,851",79%,http://www.duq.edu
Iowa State University,https://www.niche.com/colleges/iowa-state-university/,NCAA Division I-FBS,87%,"28,872",74%,http://www.iastate.edu
Seton Hall University,https://www.niche.com/colleges/seton-hall-university/,NCAA Division I (without football),67%,"5,494",64%,http://www.shu.edu/
University of Utah,https://www.niche.com/colleges/university-of-utah/,NCAA Division I-FBS,76%,"17,197",65%,http://www.utah.edu
University of Oklahoma,https://www.niche.com/colleges/university-of-oklahoma/,NCAA Division I-FBS,71%,"18,444",68%,http://ou.edu
University of South Florida,https://www.niche.com/colleges/university-of-south-florida/,NCAA Division I-FBS,47%,"24,013",67%,http://www.usf.edu
University of St. Thomas,https://www.niche.com/colleges/university-of-st-thomas---minnesota/,NCAA Division III (with football),83%,"5,786",76%,http://www.stthomas.edu
San Diego State University,https://www.niche.com/colleges/san-diego-state-university/,NCAA Division I-FBS,35%,"26,790",73%,http://www.sdsu.edu
University of Dayton,https://www.niche.com/colleges/university-of-dayton/,NCAA Division I-FCS,60%,"7,873",75%,https://www.udayton.edu
The Catholic University of America,https://www.niche.com/colleges/catholic-university-of-america/,NCAA Division III (with football),80%,"3,096",70%,http://www.cua.edu
University of Alabama,https://www.niche.com/colleges/the-university-of-alabama/,NCAA Division I-FBS,53%,"29,220",69%,https://www.ua.edu/
University of Illinois--Chicago,https://www.niche.com/colleges/university-of-illinois-at-chicago/,NCAA Division I (without football),74%,"16,517",58%,http://www.uic.edu
University of Kansas,https://www.niche.com/colleges/university-of-kansas/,NCAA Division I-FBS,93%,"17,141",63%,http://www.ku.edu
University of Missouri,https://www.niche.com/colleges/university-of-missouri/,NCAA Division I-FBS,75%,"24,124",68%,http://missouri.edu/
University of Nebraska--Lincoln,https://www.niche.com/colleges/university-of-nebraska---lincoln/,NCAA Division I-FBS,75%,"19,381",67%,http://www.unl.edu/
University of Texas--Dallas,https://www.niche.com/colleges/university-of-texas---dallas/,NCAA Division III (without football),68%,"14,323",67%,http://www.utdallas.edu
George Mason University,https://www.niche.com/colleges/george-mason-university/,NCAA Division I (without football),81%,"19,266",70%,https://www2.gmu.edu/
Michigan Technological University,https://www.niche.com/colleges/michigan-technological-university/,NCAA Division II (with football),76%,"5,446",67%,http://www.mtu.edu
University of California--Merced,https://www.niche.com/colleges/university-of-california---merced/,NAIA Division II,74%,"6,741",66%,http://www.ucmerced.edu
University of La Verne,https://www.niche.com/colleges/university-of-la-verne/,NCAA Division III (with football),48%,"3,851",66%,http://www.laverne.edu/
Colorado State University,https://www.niche.com/colleges/colorado-state-university/,NCAA Division I-FBS,78%,"21,977",67%,http://www.colostate.edu
Hofstra University,https://www.niche.com/colleges/hofstra-university/,NCAA Division I (without football),62%,"6,497",64%,http://www.hofstra.edu/home/index.html
Louisiana State University--Baton Rouge,https://www.niche.com/colleges/louisiana-state-university/,NCAA Division I-FBS,76%,"23,212",68%,http://www.lsu.edu
Mercer University,https://www.niche.com/colleges/mercer-university/,NCAA Division I-FCS,69%,"4,035",66%,http://www.mercer.edu
Oregon State University,https://www.niche.com/colleges/oregon-state-university/,NCAA Division I-FBS,77%,"18,852",63%,http://oregonstate.edu
University at Albany--SUNY,https://www.niche.com/colleges/university-at-albany-suny/,NCAA Division I-FCS,54%,"12,421",66%,http://www.albany.edu
Washington State University,https://www.niche.com/colleges/washington-state-university/,NCAA Division I-FBS,72%,"21,652",67%,http://wsu.edu/
Adelphi University,https://www.niche.com/colleges/adelphi-university/,NCAA Division II (without football),70%,"4,742",68%,http://www.adelphi.edu/
Kansas State University,https://www.niche.com/colleges/kansas-state-university/,NCAA Division I-FBS,94%,"17,699",63%,http://www.k-state.edu
The New School,https://www.niche.com/colleges/the-new-school/,DNE,60%,"6,181",68%,http://www.newschool.edu/
University of Cincinnati,https://www.niche.com/colleges/university-of-cincinnati/,NCAA Division I-FBS,76%,"21,558",67%,http://www.uc.edu
University of Kentucky,https://www.niche.com/colleges/university-of-kentucky/,NCAA Division I-FBS,91%,"20,833",64%,http://www.uky.edu
St. John Fisher College,https://www.niche.com/colleges/st-john-fisher-college/,NCAA Division III (with football),65%,"2,601",73%,http://www.sjfc.edu
