Name,Youvisit Link
Princeton University,http://www.youvisit.com/tour/princeton
Harvard University,http://www.youvisit.com/tour/harvard
Columbia University,https://www.youvisit.com/tour/columbia?pl=cl
Massachusetts Institute of Technology,http://www.youvisit.com/tour/emily.olson
University of Chicago,http://www.youvisit.com/tour/uchicagovirtualtour
Yale University,https://www.youvisit.com/tour/yale?id=5559
Stanford University,http://www.youvisit.com/tour/79451/98938/
Duke University,http://www.youvisit.com/tour/duke
University of Pennsylvania,https://www.youvisit.com/tour/74631/93096/
Johns Hopkins University,https://www.youvisit.com/tour/jhuhomewood?pl=v
Northwestern University,http://www.youvisit.com/tour/northwestern
California Institute of Technology,https://www.youvisit.com/tour/cca?id=68299
Dartmouth College,https://www.youvisit.com/tour/dartmouth?id=69424
Brown University,http://www.youvisit.com/tour/Brown
Vanderbilt University,https://www.youvisit.com/tour/vanderbilt?id=86949
Cornell University,http://www.youvisit.com/tour/82236/102031/
Rice University,https://www.youvisit.com/tour/photos/snicole/107788?id=817497
University of Notre Dame,DNE
University of California--Los Angeles,http://www.youvisit.com/tour/ucla
Washington University in St. Louis,https://www.youvisit.com/tour/virtualreality/wustl/139513
Emory University,http://www.youvisit.com/tour/80771/100512/
Georgetown University,https://www.youvisit.com/tour/gumedadmissions/92316?id=190214
University of California--Berkeley,https://www.youvisit.com/tour/michellemeier/80766
University of Southern California,DNE
Carnegie Mellon University,http://www.youvisit.com/tour/cmu
University of Virginia,http://www.youvisit.com/tour/uva
Tufts University,http://www.youvisit.com/tour/tufts
University of Michigan--Ann Arbor,http://www.youvisit.com/tour/awesomeman233
Wake Forest University,https://www.youvisit.com/tour/photos/wfu/80290?id=34268
New York University,http://www.youvisit.com/tour/81416/101053/
University of California--Santa Barbara,DNE
University of North Carolina--Chapel Hill,http://www.youvisit.com/tour/uncadmissions
University of California--Irvine,https://www.youvisit.com/tour/uci?id=27082
University of Rochester,https://www.youvisit.com/tour/rochester?loc=trail2:0:1:1
Brandeis University,http://www.youvisit.com/tour/panoramas/brandeis/79875?id=1724
Georgia Institute of Technology,http://www.youvisit.com/tour/photos/gatech/95415?id=586487
University of Florida,http://www.youvisit.com/tour/fsu
Boston College,http://www.youvisit.com/tour/103083/121476/
College of William and Mary,DNE
University of California--Davis,https://www.youvisit.com/tour/ucdavis?id=3889
University of California--San Diego,https://www.youvisit.com/tour/ucsandiego?pl=v
Boston University,http://www.youvisit.com/tour/103083/121476/
Case Western Reserve University,DNE
Northeastern University,http://www.youvisit.com/tour/northeastern
Tulane University,http://www.youvisit.com/tour/78672/97907/
Pepperdine University,http://www.youvisit.com/tour/vmahan
University of Georgia,http://www.youvisit.com/tour/111654/129386/
University of Illinois--Urbana-Champaign,DNE
Rensselaer Polytechnic Institute,DNE
University of Texas--Austin,https://www.youvisit.com/tour/utexas
University of Wisconsin--Madison,DNE
Villanova University,DNE
Lehigh University,DNE
Syracuse University,http://www.youvisit.com/tour/syracuse
University of Miami,http://www.youvisit.com/tour/miami
Ohio State University--Columbus,http://www.youvisit.com/tour/osu
Purdue University--West Lafayette,http://www.youvisit.com/tour/purdue
Rutgers University--New Brunswick,http://www.youvisit.com/tour/rutgersnewark
Pennsylvania State University--University Park,http://www.youvisit.com/tour/psu
Southern Methodist University,https://www.youvisit.com/tour/62249/80492
University of Washington,DNE
Worcester Polytechnic Institute,http://www.youvisit.com/tour/panoramas/wpi/80304?id=31442
George Washington University,DNE
University of Connecticut,https://www.youvisit.com/tour/easternct/80523?pl=f
University of Maryland--College Park,DNE
Brigham Young University--Provo,http://www.youvisit.com/tour/byu
Clark University,https://www.youvisit.com/tour/photos/clarku.admissions/89513
Clemson University,DNE
Texas A&M University--College Station,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Florida State University,http://www.youvisit.com/tour/fsu
Fordham University,https://www.youvisit.com/tour/fordham/79972?id=2220
Stevens Institute of Technology,DNE
University of California--Santa Cruz,DNE
University of Massachusetts--Amherst,http://www.youvisit.com/tour/jaclyn.dechiro
University of Pittsburgh,https://www.youvisit.com/tour/pitt/pittpc
University of Minnesota--Twin Cities,https://www.youvisit.com/tour/umn/
Virginia Tech,DNE
American University,http://www.youvisit.com/tour/american
Baylor University,https://www.youvisit.com/tour/baylor?id=238971
Binghamton University--SUNY,DNE
Colorado School of Mines,http://www.youvisit.com/tour/colorado
North Carolina State University--Raleigh,http://www.youvisit.com/tour/ncstate
Stony Brook University--SUNY,http://www.youvisit.com/tour/photos/stonybrook/80175
Texas Christian University,DNE
Yeshiva University,http://www.youvisit.com/tour/hofstra
Michigan State University,https://www.youvisit.com/tour/panoramas/msulansing/80069?id=38365
University of California--Riverside,https://www.youvisit.com/tour/ucriverside/80227?id=3485
University of San Diego,https://www.youvisit.com/tour/ucsandiego?pl=v
Howard University,https://www.youvisit.com/tour/videos/howard/82343
Indiana University--Bloomington,https://www.youvisit.com/tour/iub?id=36979
Loyola University Chicago,https://www.youvisit.com/tour/luc/80902
Marquette University,https://www.youvisit.com/tour/yale?id=5559
University at Buffalo--SUNY,https://www.youvisit.com/tour/buffalostate/79888?id=1675
University of Delaware,DNE
University of Iowa,https://www.youvisit.com/tour/iastate/95120?
Illinois Institute of Technology,https://www.youvisit.com/tour/iit
Miami University--Oxford,http://www.youvisit.com/tour/bulger5
University of Colorado--Boulder,http://www.youvisit.com/tour/colorado
University of Denver,https://www.youvisit.com/tour/colorado
University of San Francisco,https://www.youvisit.com/tour/sfsu/90483?id=43518
University of Vermont,DNE
Clarkson University,DNE
Drexel University,http://www.youvisit.com/tour/drexelhouse
Rochester Institute of Technology,http://www.youvisit.com/tour/rit
University of Oregon,http://www.youvisit.com/tour/60299/80256/
New Jersey Institute of Technology,DNE
Saint Louis University,http://www.youvisit.com/tour/photos/slu/139649?id=1019332
SUNY College of Environmental Science and Forestry,DNE
Temple University,https://www.youvisit.com/tour/photos/logan.murphy/90779?id=46025
University of Arizona,https://www.youvisit.com/tour/arizona?id=75543
University of New Hampshire,http://www.youvisit.com/tour/photos/unhcampuses/114531?id=966756
University of South Carolina,DNE
University of the Pacific,https://www.youvisit.com/tour/pacific/90862?id=59673
University of Tulsa,https://www.youvisit.com/tour/panoramas/utulsa/80353?id=12725
Arizona State University--Tempe,https://www.youvisit.com/tour/arizona?id=75543
Auburn University,http://www.youvisit.com/tour/74118/92537/
Rutgers University--Newark,http://www.youvisit.com/tour/rutgersnewark
University of Tennessee,http://www.youvisit.com/tour/photos/rtaylort/83989
DePaul University,https://www.youvisit.com/tour/61115/?loc=trail4:0:1:1&tourid=tour1&pl=v&m_prompt=1
Duquesne University,http://www.youvisit.com/tour/panoramas/duq/121191
Iowa State University,https://www.youvisit.com/tour/iastate/95120?
Seton Hall University,http://www.youvisit.com/tour/photos/depaul/137340?id=995515
University of Utah,https://www.youvisit.com/tour/utah/80265?id=10428
University of Oklahoma,http://www.youvisit.com/tour/98405/135261/
University of South Florida,DNE
University of St. Thomas,https://www.youvisit.com/tour/stthomas/80178?id=33567
San Diego State University,https://www.youvisit.com/tour/photos/sdsu/80150?id=51777
University of Dayton,http://www.youvisit.com/tour/63541/140396
The Catholic University of America,http://www.youvisit.com/tour/cua
University of Alabama,http://www.youvisit.com/tour/63517/105602
University of Illinois--Chicago,DNE
University of Kansas,http://www.youvisit.com/tour/panoramas/ku/80030?id=9011
University of Missouri,http://www.youvisit.com/tour/missouri
University of Nebraska--Lincoln,DNE
University of Texas--Dallas,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
George Mason University,http://www.youvisit.com/tour/gmu
Michigan Technological University,https://www.youvisit.com/tour/photos/mtu/80073?id=9710
University of California--Merced,http://www.youvisit.com/tour/panoramas/ucmerced/80224?id=79848
University of La Verne,https://www.youvisit.com/tour/photos/60188/80037?id=38800
Colorado State University,http://www.youvisit.com/tour/colostate
Hofstra University,http://www.youvisit.com/tour/hofstra
Louisiana State University--Baton Rouge,http://www.youvisit.com/tour/104073/122522/
Mercer University,http://www.youvisit.com/tour/panoramas/colbysawyer/79914?id=20915
Oregon State University,http://www.youvisit.com/tour/oregonstate
University at Albany--SUNY,https://www.youvisit.com/tour/albany/80743
Washington State University,https://www.youvisit.com/tour/wsulaw/80307?id=4446
Adelphi University,DNE
Kansas State University,https://www.youvisit.com/tour/60180/80025
The New School,http://www.youvisit.com/tour/newschool
University of Cincinnati,DNE
University of Kentucky,DNE
St. John Fisher College,http://www.youvisit.com/tour/fisher
St. John's University,http://www.youvisit.com/tour/81275/100905/
Union University,https://www.youvisit.com/tour/photos/sc/80142?id=18608
University of Arkansas,https://www.youvisit.com/tour/photos/uark/80213?id=18021
University of Mississippi,http://www.youvisit.com/tour/msstate
Biola University,http://www.youvisit.com/tour/biola
Missouri University of Science & Technology,http://www.youvisit.com/tour/missouri
Oklahoma State University,http://www.youvisit.com/tour/usao
University of Alabama--Birmingham,http://www.youvisit.com/tour/63517/105602
University of Hawaii--Manoa,http://www.youvisit.com/tour/118979/138088/
University of Massachusetts--Lowell,https://www.youvisit.com/tour/uml?tourid=tour1_10_22_15_24322
University of Rhode Island,http://www.youvisit.com/tour/uri
Virginia Commonwealth University,http://www.youvisit.com/tour/76837/95498/
Edgewood College,DNE
University of Central Florida,https://www.youvisit.com/tour/virtualreality/ucf/80221
University of Idaho,https://www.youvisit.com/tour/arizona?id=75543
University of Maryland--Baltimore County,DNE
Montclair State University,https://www.youvisit.com/tour/fsu/117801?id=188395&pl=v
Seattle Pacific University,https://www.youvisit.com/tour/63053/?pl=v&hover=0
Ball State University,https://www.youvisit.com/tour/bsu?id=45726
Illinois State University,http://www.youvisit.com/tour/panoramas/illinoisstate/80016?id=15615
Ohio University,https://www.youvisit.com/tour/ohiou?tourid=tour2
Rowan University,http://www.youvisit.com/tour/rowan
University of Houston,DNE
University of Louisville,https://www.youvisit.com/tour/photos/louisville/80389?id=42104
Florida Institute of Technology,DNE
Maryville University of St. Louis,http://www.youvisit.com/tour/maryville
Mississippi State University,http://www.youvisit.com/tour/msstate
Pace University,http://www.youvisit.com/tour/81017/100685/
Suffolk University,http://www.youvisit.com/tour/northeastern
University of Maine,https://www.youvisit.com/tour/63564/80432
Immaculata University,http://www.youvisit.com/tour/photos/jamesfwier/103985
Lesley University,http://www.youvisit.com/tour/103083/121476/
Robert Morris University,http://www.youvisit.com/tour/rmu
University of Wyoming,DNE
Florida International University,DNE
Georgia State University,http://www.youvisit.com/tour/photos/gsu/119493?id=920462
Texas Tech University,https://www.youvisit.com/tour/ttu?pl=wa
University of New Mexico,https://www.youvisit.com/tour/photos/unm/80254?
Kent State University,http://www.youvisit.com/tour/kent
Nova Southeastern University,http://www.youvisit.com/tour/photos/nova/94219
University of Massachusetts--Boston,http://www.youvisit.com/tour/jaclyn.dechiro
Andrews University,http://www.youvisit.com/tour/eiu/
East Carolina University,https://www.youvisit.com/tour/videos/james.foster/108256?id=847804
Indiana University-Purdue University--Indianapolis,http://www.youvisit.com/tour/80919/100608/
Lipscomb University,https://www.youvisit.com/tour/lipscomb/81259
University of Hartford,"https://www.youvisit.com/tour/hartford?pl=v,"
University of North Carolina--Charlotte,DNE
Widener University,https://www.youvisit.com/tour/videos/wideneruniversity/80294?id=5215
Regent University,https://www.youvisit.com/tour/59867?pl=v&hover=1
University of Montana,DNE
University of Nevada--Reno,DNE
University of North Carolina--Greensboro,DNE
Azusa Pacific University,https://www.youvisit.com/tour/videos/morgan.pence/88831?id=238919
California State University--Fresno,DNE
Central Michigan University,http://www.youvisit.com/tour/cmu
Montana State University,DNE
University of Colorado--Denver,http://www.youvisit.com/tour/nicole.mettler
University of North Dakota,http://www.youvisit.com/tour/dickinsonstate
Utah State University,https://www.youvisit.com/tour/videos/usu/80263?id=36376
Wayne State University,http://www.youvisit.com/tour/waynestateu/141081?panoramaIndex=0&loc=trail1%3A14%3A1%3A1?utm_source=SVRF&ref=SVRF
Western Michigan University,http://www.youvisit.com/tour/62597/80348/
West Virginia University,http://www.youvisit.com/tour/wvu
Bowling Green State University,http://www.youvisit.com/tour/photos/craig.rowley/94395?id=307427
North Dakota State University,http://www.youvisit.com/tour/northern
Old Dominion University,http://www.youvisit.com/tour/odu/136858?panoramaIndex=0&loc=Trail4%3A12%3A1%3A1?utm_source=SVRF&ref=SVRF
Shenandoah University,http://www.youvisit.com/tour/shenandoahu/141228?yv=1
University of Alaska--Fairbanks,https://www.youvisit.com/tour/photos/uaf/80721?id=87777
University of Massachusetts--Dartmouth,DNE
Benedictine University,DNE
California State University--Fullerton,http://www.youvisit.com/tour/photos/csuf/79929
Dallas Baptist University,DNE
New Mexico State University,http://www.youvisit.com/tour/nmhu/125932
University of Texas--Arlington,http://www.youvisit.com/tour/uta
South Dakota State University,http://www.youvisit.com/tour/northern
Southern Illinois University--Carbondale,https://www.youvisit.com/tour/siu/80156?id=6644
University of Missouri--St. Louis,http://www.youvisit.com/tour/umslnsp
University of South Dakota,http://www.youvisit.com/tour/northern
American International College,http://www.youvisit.com/tour/greenriver
Ashland University,http://www.youvisit.com/tour/ashland
Augusta University,https://www.youvisit.com/tour/augusta/115188?pl=v
Barry University,https://www.youvisit.com/tour/videos/barry/89398?
Boise State University,https://www.youvisit.com/tour/photos/william.weston/87735?id=143297
Cardinal Stritch University,DNE
Clark Atlanta University,http://www.youvisit.com/tour/116608/134692/
Cleveland State University,DNE
Eastern Michigan University,http://www.youvisit.com/tour/emich
East Tennessee State University,DNE
Florida A&M University,http://www.youvisit.com/tour/fsu
Florida Atlantic University,https://www.youvisit.com/tour/61339/117801
Gardner-Webb University,DNE
Georgia Southern University,http://www.youvisit.com/tour/panoramas/armstrong/79845?id=1803
Grand Canyon University,https://www.youvisit.com/tour/panoramas/gcu/79981
Indiana State University,https://www.youvisit.com/tour/indstate?id=4711
Indiana University of Pennsylvania,https://www.youvisit.com/tour/iub?id=36979
Jackson State University,http://www.youvisit.com/tour/jsums
Kennesaw State University,https://www.youvisit.com/tour/kennesaw/87142?id=40998
Lamar University,http://www.youvisit.com/tour/lamar
Liberty University,http://www.youvisit.com/tour/liberty/
Lindenwood University,https://www.youvisit.com/tour/lindenwood/136825?id=987689
Louisiana Tech University,http://www.youvisit.com/tour/panoramas/latech/80874
Middle Tennessee State University,DNE
Morgan State University,http://www.youvisit.com/tour/116629/134746/
National Louis University,DNE
North Carolina A&T State University,http://www.youvisit.com/tour/ncstate
Northern Arizona University,http://www.youvisit.com/tour/nau
Northern Illinois University,http://www.youvisit.com/tour/eiu/
Oakland University,https://www.youvisit.com/tour/62614/80396
Portland State University,http://www.youvisit.com/tour/pdx
Prairie View A&M University,https://www.youvisit.com/tour/pvamu/80121
Sam Houston State University,http://www.youvisit.com/tour/107285/125619/
San Francisco State University,https://www.youvisit.com/tour/sfsu/90483?id=43518
Spalding University,DNE
Tennessee State University,http://www.youvisit.com/tour/appstate
Tennessee Technological University,DNE
Texas A&M University--Commerce,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas A&M University--Corpus Christi,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas A&M University--Kingsville,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas Southern University,https://www.youvisit.com/tour/panoramas/tsu/108750
Texas State University,http://www.youvisit.com/tour/mwsu
Texas Woman's University,http://www.youvisit.com/tour/panoramas/twu/80206?id=5854
Trevecca Nazarene University,DNE
Trinity International University,http://www.youvisit.com/tour/panoramas/lynn/91162?id=69413
University of Akron,http://www.youvisit.com/tour/panoramas/uakron/80209?id=20167
University of Alabama--Huntsville,http://www.youvisit.com/tour/63517/105602
University of Arkansas--Little Rock,DNE
University of Louisiana--Lafayette,https://www.youvisit.com/tour/dillard/92532?id=594846
University of Louisiana--Monroe,DNE
University of Maryland--Eastern Shore,https://www.youvisit.com/tour/116627/134771/
University of Memphis,DNE
University of Missouri--Kansas City,https://www.youvisit.com/tour/photos/umkc/80372?id=92204
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,http://www.youvisit.com/tour/73836/93906/
University of New Orleans,https://www.youvisit.com/tour/dillard/92532?id=594846
University of Northern Colorado,http://www.youvisit.com/tour/unco/
University of North Texas,http://www.youvisit.com/tour/panoramas/unt/80255?id=5880
University of South Alabama,DNE
University of Southern Mississippi,DNE
University of Texas--El Paso,http://www.youvisit.com/tour/uta
University of Texas--Rio Grande Valley,http://www.youvisit.com/tour/utpb
University of Texas--San Antonio,https://www.youvisit.com/tour/utsa/90329?id=45462
University of the Cumberlands,http://www.youvisit.com/tour/59990/80231/
University of Toledo,http://www.youvisit.com/tour/77609/97162/
University of West Florida,http://www.youvisit.com/tour/uwf
University of West Georgia,DNE
University of Wisconsin--Milwaukee,https://www.youvisit.com/tour/uwm?id=185527
Valdosta State University,http://www.youvisit.com/tour/116597/134701
Wichita State University,http://www.youvisit.com/tour/mwsu
Wilmington University,https://www.youvisit.com/tour/photos/uncw/80246?id=15505
